Objective;Move;Actions
prepare_for_match;buy_starting_items;buy_starting_items
;;
swap_items;swap_flask_tp;swap_flask_tp
;swap_lesser_crit_tp;swap_lesser_crit_tp
;put_item_in_inventory;put_item_in_inventory
;;
item_recovery;heal_tango;heal_tango
;;
evasion;use_silence;use_silence
;move_safe_recovery;move_safe_recovery
;move_safe_evasion;move_safe_evasion
;;
upgrade_skills;upgrade;upgrade
;;
farm;lasthit_enemy_creep;lasthit_enemy_creep
;;stop_attack
;deny_ally_creep;deny_ally_creep
;;stop_attack
;;
attack_with_better_position;attack_enemy_hero;attack_enemy_hero
;;
kite;attack_enemy_hero;attack_enemy_hero
;;stop_attack
;attack_enemy_tower;attack_enemy_tower
;;stop_attack
;move_safe;move_safe
;;
aggro_control;aggro_last_hit;aggro_last_hit
;;stop_attack
;aggro_hg;aggro_hg
;;stop_attack
;;
positioning;tp_mid_tower;tp_mid_tower
;decrease_creeps_distance_aggro;decrease_creeps_distance_aggro
;increase_creeps_distance;increase_creeps_distance
;decrease_creeps_distance_base;decrease_creeps_distance_base
;turn;turn
;;stop_attack_and_move
;;
keep_equilibrium;attack_enemy_creep;attack_enemy_creep
;;stop_attack
;attack_ally_creep;attack_ally_creep
;;stop_attack
;;
body_block;move_and_block;move_and_block
;;stop_attack_and_move
;move_start_position;move_start_position
;turn_enemy_fountain;turn_enemy_fountain
;;stop_turn
;;
force_stop;stop;stop_attack_and_move
